title,episodes,country,premiere_year,final_year,seasons,Original Channel,technique,final_year_filled,run_years,era,title_clean,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,year_diff,rating_norm,seasons_norm,votes_norm,success_score,is_successful,toy_products,avg_stars,total_reviews,bought_last_month,match_reliable,has_merch,imdb_norm,merch_norm,reviews_norm,franchise_score,is_franchise,netflix_popularity,netflix_vote_avg,netflix_vote_count,netflix_duration,on_netflix
Pinocchio,,United States,2015.0,,8.0,Disney XD,Traditional,2023.0,8.0,Streaming Era (2010+),pinocchio,tt4201628,tvSeries,Pinocchio,Pinocchio,0.0,2014.0,2015.0,59.0,"Comedy,Drama,Mystery",8.0,10787.0,1.0,0.8354430379746834,0.21875,0.0155345206766646,0.4146233453590395,1,0.0,,,0.0,,0,0.8354430379746834,0.0,0.0,0.1670886075949367,1,0.0,,,,0
Max & Ruby,130,Canada,2002.0,2019.0,7.0,Treehouse TV,Flash,2019.0,17.0,Modern (97-09),max & ruby,tt0367367,tvSeries,Max & Ruby,Max & Ruby,0.0,2002.0,2021.0,30.0,"Animation,Family",6.2,3625.0,0.0,0.6075949367088607,0.1875,0.0052127619711936,0.3099661651763427,0,0.0,,,0.0,,0,0.6075949367088607,0.0,0.0,0.1215189873417721,0,0.0,,,,0
Doug,117,Coproduction,1991.0,1994.0,7.0,"Nickelodeon, ABC",Traditional,1994.0,3.0,Golden Age (85-96),doug,tt0101084,tvSeries,Doug,Doug,0.0,1991.0,1996.0,30.0,"Adventure,Animation,Drama",7.4,21245.0,0.0,0.7594936708860759,0.1875,0.0306064213387445,0.3770740736891165,1,0.0,,,0.0,,0,0.7594936708860759,0.0,0.0,0.1518987341772152,0,0.0,,,,0
Bobby's World,81,United States,1990.0,1998.0,7.0,Fox Kids,Traditional,1998.0,8.0,Golden Age (85-96),bobby's world,tt0103373,tvSeries,Bobby's World,Bobby's World,0.0,1990.0,1998.0,30.0,"Adventure,Animation,Comedy",7.2,5438.0,0.0,0.7341772151898733,0.1875,0.0078256282840976,0.3612522931469737,1,0.0,,,0.0,,0,0.7341772151898733,0.0,0.0,0.1468354430379746,0,0.0,,,,0
Futurama,140,United States,1999.0,2003.0,7.0,"Fox, Comedy Central, Hulu",Traditional,2003.0,4.0,Modern (97-09),futurama,tt0149460,tvSeries,Futurama,Futurama,0.0,1999.0,,22.0,"Adventure,Animation,Comedy",8.5,278642.0,0.0,0.8987341772151897,0.1875,0.4015628197626658,0.5255093758267423,1,0.0,,,0.0,,0,0.8987341772151897,0.0,0.0,0.1797468354430379,1,0.0,,,,0
The Venture Bros.,81,United States,2004.0,2018.0,7.0,Adult Swim,Traditional,2018.0,14.0,Modern (97-09),the venture bros.,tt0417373,tvSeries,The Venture Bros.,The Venture Bros.,0.0,2003.0,2018.0,22.0,"Action,Adventure,Animation",8.6,30234.0,1.0,0.911392405063291,0.1875,0.0435612229309644,0.4410722677580574,1,0.0,,,0.0,,0,0.911392405063291,0.0,0.0,0.1822784810126582,1,0.0,,,,0
Mighty Express,38,United States,2020.0,,7.0,Netflix,CGI,2023.0,3.0,Streaming Era (2010+),mighty express,tt11860336,tvSeries,Mighty Express,Mighty Express,0.0,2020.0,,,"Adventure,Animation,Comedy",3.8,184.0,0.0,0.3037974683544303,0.1875,0.0002536483569062,0.1872073994309987,0,1.0,4.3,0.0,50.0,True,1,0.3037974683544303,0.0010298661174047,0.0,0.0613259200354586,0,0.0,,,,0
Oggy and the Cockroaches,501,France,1998.0,2003.0,7.0,France 3,Traditional,2003.0,5.0,Modern (97-09),oggy and the cockroaches,tt0213363,tvSeries,Oggy and the Cockroaches,Oggy et les cafards,0.0,1997.0,2018.0,8.0,"Adventure,Animation,Comedy",7.5,6276.0,1.0,0.7721518987341771,0.1875,0.0090333403470947,0.3767440945804445,1,0.0,,,0.0,,0,0.7721518987341771,0.0,0.0,0.1544303797468354,0,0.0,,,,0
Peppa Pig,329,United Kingdom,2004.0,2012.0,7.0,"Channel 5, Clan, Cartoon Network, Discovery Kids, Nick Jr, YouTube",Flash,2012.0,8.0,Modern (97-09),peppa pig,tt0426769,tvSeries,Peppa Pig,Peppa Pig,0.0,2004.0,,9.0,"Adventure,Animation,Comedy",6.2,8208.0,0.0,0.6075949367088607,0.1875,0.0118177075376797,0.3116174015679642,0,95.0,4.64,39143.0,19900.0,False,1,0.6075949367088607,0.4098867147270854,0.3387479230130157,0.4316436611949231,1,0.0,,,,0
Garfield and Friends,121,United States,1988.0,1994.0,7.0,CBS,Traditional,1994.0,6.0,Golden Age (85-96),garfield and friends,tt0094469,tvSeries,Garfield and Friends,Garfield and Friends,0.0,1988.0,1994.0,30.0,"Animation,Comedy,Family",7.2,14964.0,0.0,0.7341772151898733,0.1875,0.021554345601651,0.364684472476362,1,0.0,,,0.0,,0,0.7341772151898733,0.0,0.0,0.1468354430379746,0,0.0,,,,0
PAW Patrol,182,Coproduction,2013.0,,7.0,Nick Jr.,CGI,2023.0,10.0,Streaming Era (2010+),paw patrol,tt3121722,tvSeries,PAW Patrol,PAW Patrol,0.0,2013.0,,23.0,"Adventure,Animation,Comedy",6.1,7875.0,0.0,0.5949367088607593,0.1875,0.0113377933169422,0.3064341318735393,0,235.0,4.39,115552.0,48550.0,True,1,0.5949367088607593,1.0,1.0,0.9189873417721518,1,512.468,7.008,762.0,1 Seasons,1
Grizzly Tales for Gruesome Kids,79,United Kingdom,2000.0,2006.0,6.0,CITV,"Traditional, Claymation, Flash",2006.0,6.0,Modern (97-09),grizzly tales for gruesome kids,tt0229132,tvSeries,Grizzly Tales for Gruesome Kids,Grizzly Tales for Gruesome Kids,0.0,2000.0,2013.0,23.0,"Animation,Comedy,Family",7.4,1001.0,0.0,0.7594936708860759,0.15625,0.001431095559136,0.3588427422442144,1,0.0,,,0.0,,0,0.7594936708860759,0.0,0.0,0.1518987341772152,0,0.0,,,,0
Franklin,78,Canada,1997.0,2004.0,6.0,"Treehouse TV, CBS, Noggin",Traditional,2004.0,7.0,Modern (97-09),franklin,tt0203254,tvSeries,Franklin,Franklin,0.0,1997.0,2006.0,23.0,"Animation,Comedy,Drama",6.5,6038.0,0.0,0.6455696202531644,0.15625,0.0086903385917327,0.315087932749199,0,0.0,,,0.0,,0,0.6455696202531644,0.0,0.0,0.1291139240506329,0,0.0,,,,0
Fudêncio e Seus Amigos,179,Brazil,2005.0,2011.0,6.0,MTV Brasil,Flash,2011.0,6.0,Modern (97-09),fudêncio e seus amigos,tt2665368,tvSeries,Fudêncio e Seus Amigos,Fudêncio e Seus Amigos,0.0,2005.0,2011.0,15.0,"Animation,Comedy,Short",7.5,198.0,0.0,0.7721518987341771,0.15625,0.0002738249307511,0.3636167157263586,1,0.0,,,0.0,,0,0.7721518987341771,0.0,0.0,0.1544303797468354,0,0.0,,,,0
Dick Figures,54,United States,2010.0,2015.0,6.0,"YouTube, Mondo Media",Flash,2015.0,5.0,Streaming Era (2010+),dick figures,tt1901983,tvSeries,Dick Figures,Dick Figures,0.0,2010.0,2015.0,2.0,"Animation,Comedy",7.7,731.0,0.0,0.7974683544303797,0.15625,0.0010419759207003,0.3739353357523269,1,0.0,,,0.0,,0,0.7974683544303797,0.0,0.0,0.1594936708860759,1,40.423,6.1,10.0,1 Seasons,1
Wild Kratts,141,Coproduction,2011.0,,6.0,"TVOntario, PBS Kids, Discovery Kids",Flash,2023.0,12.0,Streaming Era (2010+),wild kratts,tt1807859,tvSeries,Wild Kratts,Wild Kratts,0.0,2011.0,,26.0,"Adventure,Animation,Comedy",7.7,3197.0,0.0,0.7974683544303797,0.15625,0.0045959352850805,0.374823825593422,1,19.0,4.59,457.0,3650.0,True,1,0.7974683544303797,0.0751802265705458,0.0039549293824425,0.2018315278454868,1,66.054,7.6,50.0,1 Seasons,1
The Amazing World of Gumball,240,Coproduction,2011.0,2019.0,6.0,Cartoon Network,"Flash, Live-Action, CGI",2019.0,8.0,Streaming Era (2010+),the amazing world of gumball,tt1942683,tvSeries,The Amazing World of Gumball,The Amazing World of Gumball,0.0,2011.0,2019.0,11.0,"Adventure,Animation,Comedy",8.4,54016.0,0.0,0.8860759493670886,0.15625,0.0778354571579278,0.4285767440363174,1,0.0,,,0.0,,0,0.8860759493670886,0.0,0.0,0.1772151898734177,1,561.077,8.5,1472.0,1 Seasons,1
Eddsworld,65,United Kingdom,2003.0,,6.0,"Newgrounds, YouTube",Flash,2023.0,20.0,Modern (97-09),eddsworld,tt2204916,tvSeries,Eddsworld,Eddsworld,0.0,2003.0,,,"Animation,Comedy",8.6,1561.0,0.0,0.911392405063291,0.15625,0.0022381585129288,0.4198040016535486,1,0.0,,,0.0,,0,0.911392405063291,0.0,0.0,0.1822784810126582,1,0.0,,,,0
